component,correlation,abs_correlation
component_33,-0.014217600927378516,0.014217600927378516
component_30,-0.011965871372666257,0.011965871372666257
component_31,0.010236620039094058,0.010236620039094058
component_19,0.008633371057925466,0.008633371057925466
component_71,0.008197368691343744,0.008197368691343744
component_88,0.0077085038419919365,0.0077085038419919365
component_80,-0.0072602608874497085,0.0072602608874497085
component_72,-0.007019701786238642,0.007019701786238642
component_0,-0.0068379307599218415,0.0068379307599218415
component_35,0.00657191705131618,0.00657191705131618
component_29,0.0065578777269179956,0.0065578777269179956
component_14,-0.006493131500582945,0.006493131500582945
component_99,-0.00640466840581866,0.00640466840581866
component_25,0.005240845047819103,0.005240845047819103
component_61,-0.005208873366523001,0.005208873366523001
component_44,-0.005100893262891766,0.005100893262891766
component_50,0.004896044077326547,0.004896044077326547
component_81,0.004669045108020241,0.004669045108020241
component_57,-0.004464165933475456,0.004464165933475456
component_96,0.004112653384703851,0.004112653384703851
component_48,-0.0040895474143362465,0.0040895474143362465
component_1,-0.004055658220400596,0.004055658220400596
component_74,0.0040165290823325145,0.0040165290823325145
component_9,-0.0038545474691254944,0.0038545474691254944
component_55,0.003805810421550764,0.003805810421550764
component_32,-0.0037773592492894694,0.0037773592492894694
component_8,0.0037703023082082893,0.0037703023082082893
component_78,0.003766546681416968,0.003766546681416968
component_73,-0.003646453005754702,0.003646453005754702
component_5,-0.0036182212124817458,0.0036182212124817458
component_27,-0.0035762584627768027,0.0035762584627768027
component_89,0.003305803942098555,0.003305803942098555
component_4,-0.0031645975809050458,0.0031645975809050458
component_98,0.003046541130179417,0.003046541130179417
component_3,-0.0030422221420683877,0.0030422221420683877
component_36,-0.002947329325799941,0.002947329325799941
component_59,0.0029202547599413665,0.0029202547599413665
component_60,0.0028309846658680733,0.0028309846658680733
component_13,-0.0026632506621250274,0.0026632506621250274
component_34,-0.0026124910403337634,0.0026124910403337634
component_2,-0.0025966935566470958,0.0025966935566470958
component_17,-0.002588333926901969,0.002588333926901969
component_12,0.0025761275573552306,0.0025761275573552306
component_68,0.0025672725314349523,0.0025672725314349523
component_79,0.0025259681385386597,0.0025259681385386597
component_65,0.002502586738435417,0.002502586738435417
component_11,0.002490738211829661,0.002490738211829661
component_70,-0.0024563393444510494,0.0024563393444510494
component_16,0.0024315544173122007,0.0024315544173122007
component_18,-0.0022858660943169294,0.0022858660943169294
component_66,-0.0022627633588095004,0.0022627633588095004
component_51,-0.0022453848106085837,0.0022453848106085837
component_45,0.002230326239874564,0.002230326239874564
component_52,0.002184398382872282,0.002184398382872282
component_62,-0.002158278637849482,0.002158278637849482
component_97,-0.0021377092867379296,0.0021377092867379296
component_6,0.0019405317234487474,0.0019405317234487474
component_20,-0.0018357769181298461,0.0018357769181298461
component_22,-0.0017878036976291091,0.0017878036976291091
component_77,-0.0017141440736846375,0.0017141440736846375
component_87,0.001692971682309895,0.001692971682309895
component_15,-0.0016504732007581462,0.0016504732007581462
component_58,0.0016311406617659254,0.0016311406617659254
component_46,-0.001629897239648829,0.001629897239648829
component_67,0.0015516111766517393,0.0015516111766517393
component_49,-0.0015511110606896057,0.0015511110606896057
component_91,-0.001431671943080823,0.001431671943080823
component_84,-0.0013643671177391895,0.0013643671177391895
component_92,-0.0013337599775089845,0.0013337599775089845
component_95,0.0012985439021656966,0.0012985439021656966
component_24,-0.001291561697208042,0.001291561697208042
component_39,-0.001208105300655824,0.001208105300655824
component_38,-0.0010820893376109635,0.0010820893376109635
component_53,-0.001075112728411311,0.001075112728411311
component_37,0.0010103041699126318,0.0010103041699126318
component_40,0.0009909643981721589,0.0009909643981721589
component_82,-0.000983965512818197,0.000983965512818197
component_41,-0.000949548761891424,0.000949548761891424
component_7,-0.0009471551276593726,0.0009471551276593726
component_42,-0.0009289352961969976,0.0009289352961969976
component_54,0.00091241135424178,0.00091241135424178
component_10,0.0008870449417224126,0.0008870449417224126
component_28,0.0008408778525674813,0.0008408778525674813
component_90,-0.0008096758371958046,0.0008096758371958046
component_23,-0.0007931173889722394,0.0007931173889722394
component_85,-0.0007525526671803942,0.0007525526671803942
component_63,0.0007142486626186478,0.0007142486626186478
component_69,-0.0006973860441168006,0.0006973860441168006
component_94,0.0005990033766040491,0.0005990033766040491
component_75,0.0005960421438981635,0.0005960421438981635
component_26,0.0005409205291397889,0.0005409205291397889
component_21,-0.00048133149189933386,0.00048133149189933386
component_43,-0.00041260735761063116,0.00041260735761063116
component_47,0.000343371078948426,0.000343371078948426
component_56,-0.00031823439391580376,0.00031823439391580376
component_86,-0.0003127163751469766,0.0003127163751469766
component_76,0.00027568145074505647,0.00027568145074505647
component_64,0.00017883041062844687,0.00017883041062844687
component_83,9.374560746029355e-05,9.374560746029355e-05
component_93,-1.4848778099767809e-05,1.4848778099767809e-05
